candidate,architecture,candidate_type,relu_number,relu_points,torchvision_feature_index,pretrained,normalize_features,mode,subset,score,score_percent
vgg16_relu13,vgg16,single_relu,13.0,[13],29,True,True,jnd,val/cnn,0.652598822104593,65.2598822104593
vgg16_multi_relu2_4_7_13,vgg16,multi_relu_mean,,"[2, 4, 7, 13]","[3, 8, 15, 29]",True,True,jnd,val/cnn,0.6751971608303764,67.51971608303764
vgg16_bn_relu2,vgg16_bn,single_relu,2.0,[2],5,True,True,2afc,val/traditional,0.593771189495416,59.3771189495416
vgg16_bn_relu4,vgg16_bn,single_relu,4.0,[4],12,True,True,2afc,val/traditional,0.6141525453524822,61.41525453524822
vgg16_bn_relu7,vgg16_bn,single_relu,7.0,[7],22,True,True,2afc,val/traditional,0.6488559355643594,64.88559355643594
vgg16_bn_relu13,vgg16_bn,single_relu,13.0,[13],42,True,True,2afc,val/traditional,0.7530932246723165,75.30932246723165
vgg16_bn_multi_relu2_4_7_13,vgg16_bn,multi_relu_mean,,"[2, 4, 7, 13]","[5, 12, 22, 42]",True,True,2afc,val/traditional,0.6405084777370853,64.05084777370853
vgg16_bn_relu2,vgg16_bn,single_relu,2.0,[2],5,True,True,2afc,val/cnn,0.8166313597553615,81.66313597553615
vgg16_bn_relu4,vgg16_bn,single_relu,4.0,[4],12,True,True,2afc,val/cnn,0.7916737323690016,79.16737323690016
vgg16_bn_relu7,vgg16_bn,single_relu,7.0,[7],22,True,True,2afc,val/cnn,0.7831144101886174,78.31144101886174
vgg16_bn_relu13,vgg16_bn,single_relu,13.0,[13],42,True,True,2afc,val/cnn,0.8074788172113694,80.74788172113693
vgg16_bn_multi_relu2_4_7_13,vgg16_bn,multi_relu_mean,,"[2, 4, 7, 13]","[5, 12, 22, 42]",True,True,2afc,val/cnn,0.8102330545437033,81.02330545437033
vgg16_bn_relu2,vgg16_bn,single_relu,2.0,[2],5,True,True,2afc,val/color,0.6088135652780785,60.88135652780785
vgg16_bn_relu4,vgg16_bn,single_relu,4.0,[4],12,True,True,2afc,val/color,0.5636440729280398,56.364407292803975
vgg16_bn_relu7,vgg16_bn,single_relu,7.0,[7],22,True,True,2afc,val/color,0.5451271234743171,54.512712347431716
vgg16_bn_relu13,vgg16_bn,single_relu,13.0,[13],42,True,True,2afc,val/color,0.5948305141117614,59.483051411176135
vgg16_bn_multi_relu2_4_7_13,vgg16_bn,multi_relu_mean,,"[2, 4, 7, 13]","[5, 12, 22, 42]",True,True,2afc,val/color,0.5877118699947151,58.77118699947152
vgg16_bn_relu2,vgg16_bn,single_relu,2.0,[2],5,True,True,jnd,val/traditional,0.39171363225581013,39.17136322558101
vgg16_bn_relu4,vgg16_bn,single_relu,4.0,[4],12,True,True,jnd,val/traditional,0.3928542808136113,39.28542808136113
vgg16_bn_relu7,vgg16_bn,single_relu,7.0,[7],22,True,True,jnd,val/traditional,0.4268511141071365,42.68511141071365
vgg16_bn_relu13,vgg16_bn,single_relu,13.0,[13],42,True,True,jnd,val/traditional,0.5656765609666254,56.567656096662546
